ID,Adoption,Died,Euthanasia,Return_to_owner,Transfer
1,0.023396628,0.0065261363,0.028933648,0.16705719,0.7740864
2,0.8083561,0.0009317906,0.008309693,0.13196996,0.050432477
3,0.36161575,0.0013806225,0.02723852,0.123103224,0.48666185
4,0.18495335,0.0011556263,0.030300722,0.07710099,0.70648926
5,0.46242827,0.0010723439,0.012383725,0.39461356,0.12950204
6,0.19339062,0.0011714629,0.038887225,0.57787335,0.18867739
7,0.15447786,0.02158863,0.5635352,0.053310636,0.20708765
8,0.7359383,0.0040324666,0.00623106,0.0070029036,0.24679524
9,0.8280044,0.0003162342,0.0024285857,0.09546145,0.07378927
10,0.6648374,0.0005729729,0.014998496,0.24108683,0.07850429
11,0.7417861,0.0002377966,0.0018339336,0.14984216,0.10629999
12,0.01619616,0.012112125,0.29549453,0.16101016,0.5151871
13,0.68346477,0.0011137327,0.008075135,0.08237928,0.22496709
14,0.5142742,0.0004936422,0.008064752,0.4072591,0.069908336
15,0.93722534,0.00011618926,0.004160116,0.041055873,0.017442498
16,0.8079302,0.00043188917,0.0017135987,0.10138908,0.08853532
17,0.28046227,0.003180556,0.059068084,0.55497426,0.102314875
18,0.49135908,0.00041623402,0.0062715258,0.47521242,0.02674076
19,0.20222317,0.0009974015,0.046062764,0.24281313,0.5079035
20,0.011808866,0.0010145786,0.27777624,0.052009393,0.65739095
21,0.36679482,0.0005080443,0.017704755,0.20896155,0.4060308
22,0.0012880907,0.0026906026,0.42654967,0.003348865,0.5661228
23,0.5869172,0.001316111,0.02174635,0.10393714,0.28608322
24,0.0017737002,0.0011977558,0.028972877,0.0007405053,0.96731514
25,0.7126962,0.0005530386,0.017871682,0.1510848,0.1177943
26,0.3306726,0.0012118092,0.038463853,0.08652929,0.5431225
27,0.93959415,0.00035294454,0.0014002221,0.0048635076,0.05378918
28,0.16054603,0.037318937,0.26331717,0.030920798,0.5078971
29,0.41836858,0.0012065583,0.055016275,0.37396523,0.15144339
30,0.43848035,0.0024184305,0.023993367,0.43401363,0.10109424
31,0.2874168,0.0012686659,0.054560505,0.4364426,0.22031146
32,0.84883416,0.00046388124,0.0013588023,0.061586354,0.0877568
33,0.14111578,0.002245044,0.093252,0.16648996,0.5968972
34,0.9873563,0.00034851424,0.00071912195,0.005947026,0.005629052
35,0.6887411,0.0028807786,0.027294377,0.006776426,0.27430737
36,0.46474457,0.002155523,0.027084626,0.18509321,0.3209221
37,0.125758,0.012588541,0.11561246,0.018834423,0.7272066
38,0.9144357,0.00019983361,0.00027400005,0.05459034,0.030500112
39,0.32297716,0.00033340426,0.024021814,0.4915449,0.16112274
40,0.28684542,0.0014944333,0.04184335,0.15447891,0.51533794
41,0.033804595,0.0012521265,0.021113442,0.29329926,0.6505306
42,0.00033469053,0.012009218,0.01328124,0.0028383953,0.97153646
43,0.7027518,0.0010432849,0.016946476,0.07160537,0.20765306
44,0.0008785277,0.04470042,0.030715054,0.0025596537,0.92114633
45,0.19040377,0.0037192358,0.0511246,0.2162914,0.538461
46,0.32691866,0.0020308704,0.04915445,0.22655731,0.39533868
47,0.2589689,0.0049953563,0.066762835,0.24139272,0.42788023
48,0.59168524,0.00064684125,0.016598044,0.2672799,0.123790026
49,0.24636754,0.00037755765,0.024038814,0.4293457,0.29987043
50,0.018862497,0.004469639,0.094772816,0.13215673,0.7497383
51,0.11215844,0.019067274,0.09584843,0.006346409,0.7665795
52,0.14125717,0.0006966837,0.032741517,0.7439398,0.08136483
53,0.9698953,0.00077726407,0.0013342516,0.00798931,0.02000389
54,0.084666096,0.022898695,0.10035025,0.0012406111,0.7908444
55,0.01544271,0.00520851,0.5675653,0.04053888,0.37124458
56,0.4212558,0.019100597,0.21526596,0.119875684,0.22450197
57,0.5453262,0.00040071958,0.0027741618,0.376564,0.074934974
58,0.00016963767,0.011560609,0.020313613,0.00045911767,0.967497
59,0.0017328253,0.007621182,0.020284919,0.0025339925,0.967827
60,0.6915053,0.00044753466,0.0047818655,0.04290709,0.26035818
61,0.5905338,0.0007362756,0.04929539,0.31546316,0.04397142
62,0.1474547,0.0006023184,0.031961218,0.5827574,0.23722436
63,0.2685105,0.0012401083,0.03959446,0.31060237,0.38005263
64,0.020074205,0.06554056,0.15028463,0.0030485557,0.7610521
65,0.0133528,0.010546432,0.053557232,0.00078016217,0.92176336
66,0.84002745,0.00014414225,0.007675441,0.11820192,0.033951037
67,0.9610417,0.0003269572,0.00054982124,0.006298699,0.03178285
68,0.027085604,0.0031029817,0.31452775,0.22509785,0.43018582
